id,date,category,value,notes,status
1,null,"AI",null,null,null,null,
2,null,"Cyber-Security",null,null,null,null,
3,null,"Machine-Learning",null,null,null,null,
4,null,"NLP",null,null,null,null,
5,null,"Registries","Not Found",null,null,null,
6,null,"Security-Data-Finding",null,null,null,null,
7,null,"Threat-Imitation",null,null,null,null,
8,null,"Malware-Detection","Not Found",null,null,null,
9,null,"Attack-Vector-Identification","Not Found",null,null,null,
10,null,"Anomaly-Detection","Not Found",null,null,null,
11,null,"Risk-Assessment","Not Found",null,null,null,
12,null,"Predictive-Modeling","Not Found",null,null,null,
13,null,"Machine-Learning-Models","Not Found",null,null,null,
14,null,"Deep-Learning-AI","Not Found",null,null,null,
15,null,"Pattern-Recognition","Not Found",null,null,null,
16,null,"Anomaly-Detection","Not Found",null,null,null,
17,null,"Predictive-Modeling","Not Found",null,null,null,
18,null,"Risk-Assessment","Not Found",null,null,null,
19,null,"Cyber-Security-Impact","Not Found",null,null,null,
20,null,"Security-Alerts","Not Found",null,null,null,
21,null,"Intrusion-Detection","Not Found",null,null,null,
22,null,"Anomaly-Signals","Not Found",null,null,null,
23,null,"Predictive-Modeling","Not Found",null,null,null,
24,null,"Risk-Assessment","Not Found",null,null,null,
25,null,"Predictive-Models","Not Found",null,null,null,
26,null,"Security-Privacy-Awareness","Not Found",null,null,null,
27,null,"Data-Exposure","Not Found",null,null,null,
28,null,"Anomaly-Detection","Not Found",null,null,null,
29,null,"Risk-Assessment","Not Found",null,null,null,
30,null,"Predictive-Models","Not Found",null,null,null
```